"gvkey","tic","conm","prccq"
24720,"WNC","WABASH NATIONAL CORP",21.98
24750,"WETF","WISDOMTREE INVESTMENTS INC",10.17
24861,"PLNT","PLANET FITNESS INC",23.34
24911,"MCFT","MCBC HOLDINGS INC",19.55
24980,"CRT","CROSS TIMBERS ROYALTY TRUST",15.32
25024,"FCO","ABERDEEN GLOBAL INCOME FD",8.62
25279,"BSX","BOSTON SCIENTIFIC CORP",27.72
25289,"VBIV","VBI VACCINES INC",4.35
25405,"BGC","GENERAL CABLE CORP/DE",16.35
25527,"FORK","FULING GLOBAL INC",3.2
25536,"CENTA","CENTRAL GARDEN & PET CO",30.02
25676,"PRCP","PERCEPTRON INC",7.28
25726,"CVU","CPI AEROSTRUCTURES INC",9.4
25756,"PSTG","PURE STORAGE INC",10.61
25922,"KAI","KADANT INC",75.2
26123,"NVCR","NOVOCURE LTD",17.3
26147,"PEN","PENUMBRA INC",87.75
26156,"HPE","HEWLETT PACKARD ENTERPRISE",18.63
26347,"EQBK","EQUITY BANCSHARES INC",30.64
26349,"AXSM","AXSOME THERAPEUTICS INC",5.5
26566,"KSHB","KUSH BOTTLES INC",2.2
26922,"PTIX","PROTAGENIC THERAPEUTICS INC",2
27086,"ZEST","ECOARK HOLDINGS INC",3.61
27154,"ADAT","AUTHENTIDATE HOLDING CORP",1.6
27265,"AAV","ADVANTAGE OIL & GAS LTD",8.77
27828,"UEIC","UNIVERSAL ELECTRONICS INC",66.85
27938,"SCVL","SHOE CARNIVAL INC",25.37
28059,"TRZBF","TRANSAT A T INC",5.5
28209,"ANIK","ANIKA THERAPEUTICS INC",49.34
28378,"LGF.A","LIONS GATE ENTERTAINMENT CP",28.22
28380,"OFIX","ORTHOFIX INTERNATIONAL NV",46.48
28555,"CGEAF","COGECO COMMUNICATIONS INC",78.98
28742,"BWA","BORGWARNER INC",42.36
28833,"CLDB","CORTLAND BANCORP",18
28853,"ARRS","ARRIS INTERNATIONAL PLC",28.02
29150,"URBN","URBAN OUTFITTERS INC",22.88
29156,"UFPI","UNIVERSAL FOREST PRODS INC",87.31
29286,"BFR","BBVA BANCO FRANCES SA",18.93
29359,"SUI","SUN COMMUNITIES INC",87.69
29449,"UFPT","UFP TECHNOLOGIES INC",28.3
29476,"THERF","THERATECHNOLOGIES INC",7.13
29705,"DAKT","DAKTRONICS INC",9.46
29850,"TV","GRUPO TELEVISA SAB",24.37
29870,"ZEUS","OLYMPIC STEEL INC",19.48
30024,"MIICF","MILLICOM INTL CELLULAR SA",59.5
30082,"DNBF","DNB FINANCIAL CORP",34.3
30146,"ITG","INVESTMENT TECHNOLOGY GP INC",21.24
30369,"CIFAF","CI FINANCIAL CORP",27.64
30421,"STLJF","STELLA-JONES INC",44.26
30443,"FDP","FRESH DEL MONTE PRODUCE INC",50.91
30538,"EOCC","ENEL GENERACION CHILE SA",22.64
30554,"TARO","TARO PHARMACEUTICL INDS LTD",112.06
31205,"FMX","FOMENTO ECONOMICO MEXICANO",98.34
31360,"FBTT","FIRST BANKERS TRUSTSHARES",26.75
31607,"NATI","NATIONAL INSTRUMENTS CORP",40.22
31752,"CBZ","CBIZ INC",15
31895,"BHB","BAR HARBOR BANKSHARES",30.82
60931,"SYX","SYSTEMAX INC",18.8
61192,"BREW","CRAFT BREW ALLIANCE INC",16.85
61302,"ACGL","ARCH CAPITAL GROUP LTD",93.29
61544,"ASFI","ASTA FUNDING INC",8.1
61562,"AEIS","ADVANCED ENERGY INDS INC",64.69
61711,"TGTX","TG THERAPEUTICS INC",10.05
61759,"CLB","CORE LABORATORIES NV",101.27
61814,"BESIY","BESI-BE SEMICONDUCTOR INDS",53.321
61836,"TTNP","TITAN PHARMACEUTICALS INC",1.9
61839,"APU","AMERIGAS PARTNERS  -LP",45.17
62139,"PLBC","PLUMAS BANCORP",21.3
62266,"CSGS","CSG SYSTEMS INTL INC",40.58
62374,"IRM","IRON MOUNTAIN INC",34.36
62527,"3AMFC","AMB FINANCIAL CORP",17
62575,"FFDF","FFD FINANCIAL CORP",39.15
62626,"EPM","EVOLUTION PETROLEUM CORP",8.1
62965,"SSNC","SS&C TECHNOLOGIES HLDGS INC",38.41
63099,"BVSN","BROADVISION INC",4.445
63120,"AXAHY","AXA SA",27.316
63135,"DCOM","DIME COMMUNITY BANCSHARES",19.6
63172,"FDS","FACTSET RESEARCH SYSTEMS INC",165.69
63312,"RCAR","RENOVACARE INC",3.75
63402,"CHBH","CROGHAN BANCSHARES INC",46.5
63447,"GES","GUESS INC",11.16
63501,"ETFC","E TRADE FINANCIAL CORP",38.03
63605,"CPN","CALPINE CORP",13.53
63781,"WTFC","WINTRUST FINANCIAL CORP",76.44
64055,"WSTC","WEST CORP",23.32
64072,"PRBZF","PREMIUM BRANDS HLDGS CORP",93.04
64228,"UBFO","UNITED SECURITY BANCSHARS CA",9.25
64260,"LIFZF","LABRADOR IRON ORE ROYALTY CP",15.72
64334,"VCEL","VERICEL CORP",3.3
64480,"TIVO","TIVO CORP",18.65
64625,"NPIFF","NORTHLAND POWER INC",23.1
64637,"EMKR","EMCORE CORP",10.65
64645,"BKYI","BIO-KEY INTERNATIONAL INC",3.01
64850,"REIS","REIS INC",21.25
64901,"MMS","MAXIMUS INC",62.63
64929,"SLP","SIMULATIONS PLUS INC",12.2
65003,"FRFC","FIRST ROBINSON FINANCIAL CP",40.09
65021,"EGHT","8X8 INC",14.55
65084,"CXW","CORECIVIC INC",27.58
65226,"QADA","QAD INC",30.2
65286,"AEHR","AEHR TEST SYSTEMS",4.58
65290,"SLG","SL GREEN REALTY CORP",105.8
65344,"VTSI","VIRTRA INC",1.88
65552,"INVE","IDENTIV INC",5.25
65556,"NLY","ANNALY CAPITAL MANAGEMENT",12.05
65613,"SAPIF","SAPUTO INC",41.25
65675,"CUI","CUI GLOBAL INC",3.84
65702,"CWST","CASELLA WASTE SYS INC  -CL A",16.41
65718,"GPI","GROUP 1 AUTOMOTIVE INC",63.32
65765,"CTIB","CTI INDUSTRIES CORP",5.68
66016,"INGR","INGREDION INC",119.21
66155,"NWFL","NORWOOD FINANCIAL CORP",42.25
66201,"KISB","KISH BANCORP INC",54
66261,"LIVE","LIVE VENTURES INC",10.34
66379,"CECO","CAREER EDUCATION CORP",9.6
66602,"CIX","COMPX INTERNATIONAL INC",15.205
100338,"RELX","RELX PLC",21.9
100424,"JMHLY","JARDINE MATHESON HLDGS LTD",64.2
101204,"SNY","SANOFI",47.91
101292,"PUBGY","PUBLICIS GROUPE SA",18.622
102523,"VLEEY","VALEO SA",33.641
106808,"BIOYF","BIOSYENT INC",8.22
108548,"WLDVF","ARIZONA MINING INC",2.85
109084,"OME","OMEGA PROTEIN CORP",17.9
109919,"CRAI","CRA INTERNATIONAL INC",36.32
110359,"FIZN","FIRST CITIZENS BANCSHRS INC",46.5
110529,"EVOL","EVOLVING SYSTEMS INC",5.15
110760,"AXTI","AXT INC",6.35
111640,"CBKM","CONSUMERS BANCORP INC",19
111873,"RH","RH",47.97
112111,"CSGP","COSTAR GROUP INC",263.6
113419,"CVG","CONVERGYS CORP",23.78
114211,"ZPTAF","SURGE ENERGY INC",2.09
114880,"MFNC","MACKINAC FINANCIAL CORP",13.99
119617,"7687B","APOLLO MEDICAL HLDG INC-OLD",10
120444,"WCC","WESCO INTL INC",57.3
120456,"LOAN","MANHATTAN BRIDGE CAPITAL INC",5.95
120458,"RATE","BANKRATE INC",12.85
120654,"CMLEF","COMINAR REAL ESTATE INVT TR",12.71
120774,"BRCD","BROCADE COMMUNICATIONS SYS",12.57
120794,"TCP","TC PIPELINES LP",55
121077,"FFIV","F5 NETWORKS INC",127.06
121142,"SKX","SKECHERS U S A INC",29.5
121257,"GEC","GREAT ELM CAPITAL GROUP INC",3.4
121817,"SALM","SALEM MEDIA GROUP INC",7.1
122154,"ADFJF","ADF GROUP INC",2.9
122175,"VHC","VIRNETX HOLDING CORP",4.55
122194,"ATGFF","ALTAGAS LTD",29.68
122536,"ACTA","ACTUA CORP",14.05
124597,"KTHN","KATAHDIN BANKSHARES CORP",13.5
125276,"CRDSQ","CROSSROADS SYSTEMS INC",3.43
125794,"NEO","NEOGENOMICS INC",8.96
129823,"BBGI","BEASLEY BROADCAST GROUP INC",9.8
133288,"SLAB","SILICON LABORATORIES INC",68.35
134044,"SINA","SINA CORP",84.97
135788,"CEVA","CEVA INC",45.45
137135,"HSB.PC","HSBC BANK CDA",25.2
138608,"MDCO","MEDICINES CO",38.01
138861,"BEL","BELMOND LTD",13.3
139705,"MBCN","MIDDLEFIELD BANC CORP",50.4
139804,"TTMI","TTM TECHNOLOGIES INC",17.36
140045,"ASR","GRUPO AEROPORTUARIO SURESTE",210.4
140222,"NFD.A","NORTHFIELD CAPITAL CORP",26.5
140481,"SPYV","SPDR S&P 500 VALUE",113.67
140821,"CUK","CARNIVAL CORP/PLC (GBR)",64.19
141197,"ARRY","ARRAY BIOPHARMA INC",8.37
141359,"RECN","RESOURCES CONNECTION INC",12.55
141720,"ETP","ENERGY TRANSFER PARTNERS -LP",20.39
142956,"OMCL","OMNICELL INC",43.1
143357,"ACN","ACCENTURE PLC",124.47
143403,"JE","JUST ENERGY GROUP INC",6.8
143710,"GLPW","GLOBAL POWER EQUIPMENT GROUP",3.45
143974,"ADS","ALLIANCE DATA SYSTEMS CORP",256.69
145024,"GLAD","GLADSTONE CAPITAL CORP",9.83
145108,"TSTIF","TSO3 INC",3.09
145812,"CPG","CRESCENT POINT ENERGY CORP",9.92
146140,"PDM","PIEDMONT OFFICE REALTY TRUST",21.08
146500,"FVE","FIVE STAR SENIOR LIVING INC",1.5
146648,"CUTR","CUTERA INC",25.9
147305,"JBLU","JETBLUE AIRWAYS CORP",22.83
148533,"NNDIF","NORANDA INCOME FUND",1.26
149662,"SWSSF","TEN PEAKS COFFEE CO INC",6.35
151237,"CRDUF","CANADIAN RESOURCES INCOME TR",9.24
151544,"PKBK","PARKE BANCORP INC",22.4
151928,"CBMX","COMBIMATRIX CORP",5.35
155387,"TROV","TROVAGENE INC",1.26
157218,"BWLD","BUFFALO WILD WINGS INC",126.7
158743,"BGS","B&G FOODS INC",35.6
160381,"CNCOY","CENCOSUD SA",8.05
179534,"V","VISA INC",93.78
179552,"EMPK","EMPIRE BANCORP INC",13.769
179577,"CFX","COLFAX CORP",39.37
179583,"FN","FABRINET",42.66
179597,"HCCI","HERITAGE-CRYSTAL CLEAN INC",15.9
179598,"CLDX","CELLDEX THERAPEUTICS INC",2.47
179621,"PM","PHILIP MORRIS INTERNATIONAL",117.45
179657,"HI","HILLENBRAND INC",36.1
179666,"LOGM","LOGMEIN INC",104.5
179671,"CCXI","CHEMOCENTRYX INC",9.36
179686,"ZGNX","ZOGENIX INC",14.5
179700,"DPS","DR PEPPER SNAPPLE GROUP INC",91.11
179731,"INSY","INSYS THERAPEUTICS INC",12.65
179738,"ERII","ENERGY RECOVERY INC",8.29
179741,"KKR","KKR & CO LP",18.6
179782,"REN","RESOLUTE ENERGY CORP",29.77
179817,"VRS","VERSO CORP",4.69
179819,"NX","QUANEX BUILDING PRODUCTS",20.4
179831,"WES","WESTERN GAS PARTNERS LP",55.94
179834,"CDNA","CAREDX INC",1.11
179840,"FLDM","FLUIDIGM CORP",4.04
179841,"CDXS","CODEXIS INC",5.45
179843,"IPI","INTREPID POTASH INC",2.26
179865,"WMPN","WILLIAM PENN BANCORP INC",24.05
179889,"AGNC","AGNC INVESTMENT CORP",21.29
179957,"ECHO","ECHO GLOBAL LOGISTICS INC",19.9
179974,"HCI","HCI GROUP INC",46.98
180016,"MRC","MRC GLOBAL INC",16.52
180029,"DGI","DIGITALGLOBE INC",33.3
180057,"IOVA","IOVANCE BIOTHERAPEUTICS INC",7.35
180081,"SPOXF","SPROTT INC",2.28
180083,"LOPE","GRAND CANYON EDUCATION INC",78.41
180109,"MLVF","MALVERN BANCORP INC",23.95
180118,"SINO","SINO-GLOBAL SHIPPING AMERICA",2.88
180167,"SNI","SCRIPPS NETWORKS INTERACTIVE",68.31
180169,"BKJ","BANCORP OF NEW JERSEY INC",16.75
180183,"HBCP","HOME BANCORP INC",42.52
180193,"OCSL","OAKTREE SPECIALTY LENDING CP",4.86
180228,"IVR","INVESCO MORTGAGE CAPITAL INC",16.71
180229,"MG","MISTRAS GROUP INC",20.92
180249,"HPJ","HIGHPOWER INTERNATIONAL INC",3.65
180272,"BKI","BLACK KNIGHT INC",40.95
180387,"TCKKF","TIMBERCREEK FINANCIAL CORP",9.37
180395,"ILG","ILG INC",27.49
180402,"HSNI","HSN INC",31.9
180405,"ATVI","ACTIVISION BLIZZARD INC",57.57
180413,"DL","CHINA DISTANCE EDUCATION-ADR",8.92
180423,"TREE","LENDINGTREE INC",172.2
180466,"JBT","JOHN BEAN TECHNOLOGIES",98
180474,"RXN","REXNORD CORP",23.25
180483,"BERY","BERRY GLOBAL GROUP INC",57.01
180506,"LUCRF","LUCARA DIAMOND CORP",2.76
180635,"CLD","CLOUD PEAK ENERGY INC",3.53
180646,"MYRG","MYR GROUP INC",31.02
180652,"VRSK","VERISK ANALYTICS INC",84.37
180665,"DRNE","DRONE AVIATION HOLDING CORP",1.42
180681,"ABBB","AUBURN BANCORP INC",11.3
180711,"AVGO","BROADCOM LTD",220.81
180821,"ASCMA","ASCENT CAPITAL GROUP INC",15.36
180822,"MHH","MASTECH DIGITAL INC",6.48
180905,"RST","ROSETTA STONE INC",10.78
180958,"FSFG","FIRST SAVINGS FINANCIAL GP",52.78
181104,"MDRX","ALLSCRIPTS HEALTHCARE SOLTNS",12.76
181105,"TNEYF","TAMARACK VALLEY ENERGY LTD",2.23
181269,"GPRE","GREEN PLAINS INC",20.55
181290,"DMRC","DIGIMARC CORP",40.15
181327,"AUG","AURYN RESOURCES INC",3.05
181515,"ANCB","ANCHOR BANCORP/WA",25.05
181618,"CYMBF","CYMBRIA CORP",48.29
181745,"CCLP","CSI COMPRESSCO LP",4.85
181775,"CIBY","CIBL INC",1480
181794,"BSPM","BIOSTAR PHARMACEUTICALS INC",1.53
181804,"ALARF","ALARIS ROYALTY CORP",23.03
181820,"FSBW","FS BANCORP INC",43.77
181931,"CLW","CLEARWATER PAPER CORP",46.75
181970,"VBIO","VITALITY BIOPHARMA INC",2.09
181989,"SLCA","U S SILICA HOLDINGS INC",35.49
182112,"BPI","BRIDGEPOINT EDUCATION INC",14.76
182308,"MDSO","MEDIDATA SOLUTIONS INC",78.2
182309,"ABIO","ARCA BIOPHARMA INC",2.4
182497,"KANP","KAANAPALI LAND LLC",36.5
182599,"RIVE","RIVERVIEW FINANCIAL CORP",13.48
182613,"TETAA","TETON ADVISORS INC",36
182683,"SPLB","SPDR PORTFO LG TRM CP BD ETF",41.64
182700,"CYOU","CHANGYOU.COM LTD",38.76
182701,"GOV","GOVERNMENT PPTYS INCOME TR",18.31
182788,"WAC","WALTER INVESTMENT MGMT CORP",0.9471
182826,"ADMP","ADAMIS PHARMACEUTICALS CORP",5.2
183046,"FFMH","FIRST FARMERS & MERCHANTS CP",34.5
183108,"WMC","WESTERN ASSET MTG CAPITAL CP",10.3
183139,"ISDR","ISSUER DIRECT CORP",12.9202
183187,"CPXWF","CAPITAL POWER CORP",24.32
183230,"MGMXF","ALTERRA POWER CORP",5.69
183231,"GMICF","GENWORTH MI CANADA INC",35.68
183247,"TBNK","TERRITORIAL BANCORP INC",31.19
183283,"ADUS","ADDUS HOMECARE CORP",37.2
183312,"ASPS","ALTISOURCE PORTFOLIO SOLTNS",21.82
183322,"TXMD","THERAPEUTICSMD INC",5.27
183324,"PMT","PENNYMAC MORTGAGE INVEST TR",18.29
183331,"SVRZF","SILVER BULLION TRUST",12.19
183337,"CO","CHINA CORD BLOOD CORP",9.48
183358,"GXOCF","GRANITE OIL CORP",4.63
183366,"H","HYATT HOTELS CORP",56.21
183377,"FTNT","FORTINET INC",37.44
183388,"STWD","STARWOOD PROPERTY TRUST INC",22.39
183524,"GNUS","GENIUS BRANDS INTL INC",3.42
183528,"GCAP","GAIN CAPITAL HOLDINGS INC",6.23
183565,"IDWM","IDW MEDIA HOLDINGS INC",48.51
183581,"KAR","KAR AUCTION SERVICES INC",41.97
183590,"OTCM","OTC MARKETS GROUP INC",25
183593,"OMER","OMEROS CORP",19.905
183602,"SRNE","SORRENTO THERAPEUTICS INC",2
183603,"CLNS","COLONY NORTHSTAR INC",14.09
183606,"ARI","APOLLO COMMERCIAL RE FIN INC",18.55
183636,"RCM","R1 RCM INC",3.75
183640,"IRDM","IRIDIUM COMMUNICATIONS INC",11.05
183660,"YUANF","FINCERA INC",29.1
183663,"CULL","CULLMAN BANCORP INC",23
183666,"ZMTP","ZOOM TELEPHONICS INC",2
183683,"DLMAF","DOLLARAMA INC",119.5
183727,"OMNT","OMINTO INC",15.25
183736,"GNRC","GENERAC HOLDINGS INC",36.13
183739,"IPCI","INTELLIPHARMACEUTICS INTL",1.89
183745,"NAF.UN","REDWOOD GLOBL FINANCIAL INCM",21.7
183746,"FIG.","FIRST ASSET INVST GRD BD ETF",11.24
183780,"TWO","TWO HARBORS INVESTMENT CORP",9.91
183791,"CVE","CENOVUS ENERGY INC",9.56
183797,"COWN","COWEN INC",16.25
183799,"COGT","COGINT INC",5.05
183822,"ARR","ARMOUR RESIDENTIAL REIT INC",25
183826,"STBZ","STATE BANK FINANCIAL CORP",27.12
183830,"PEB","PEBBLEBROOK HOTEL TRUST",32.24
183833,"TRNO","TERRENO REALTY CORP",33.66
183855,"PARXF","PAREX RESOURCES INC",14.75
183860,"SKLN","SKYLINE MEDICAL INC",1.47
183894,"PCD.UN","PATHFINDER INCOME FUND",8.42
183896,"CCM","CONCORD MEDICAL SVCS  -ADR",3.75
